,pref_voter_id,year,race,first_report_seen,vote_rank,candidate
10618,104780,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10619,104781,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10620,104782,2018,BOS,4,[1],['JEFF SHEEHY']
10621,104783,2018,BOS,4,[1],['JEFF SHEEHY']
10622,104786,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10623,104787,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10624,104788,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10625,104789,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10626,104790,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10627,104791,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10628,104792,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10629,104793,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10630,104794,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10631,104795,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10632,104796,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10633,104797,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE"", 'JEFF SHEEHY']"
10634,104798,2018,BOS,4,"[1, 2, 3]","[""LAWRENCE ''STARK'' DAGESSE"", 'JEFF SHEEHY', 'RAFAEL MANDELMAN']"
10635,104799,2018,BOS,4,"[1, 2]","['JEFF SHEEHY', 'RAFAEL MANDELMAN']"
10636,104800,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10637,104801,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10638,104802,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10639,104803,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10640,104804,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10641,104805,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10642,104806,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10643,104807,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE"", 'RAFAEL MANDELMAN']"
